source,target,timestamp_ms
540,540,1636427736000
2337,166,1636427739000
732,131,1636427740000
733,131,1636427740000
4211,131,1636427740000
734,131,1636427743000
2338,217,1636427744000
2205,166,1636427744000
2339,307,1636427747000
735,131,1636427748000
735,131,1636427748000
2272,217,1636427751000
2340,217,1636427752000
4212,131,1636427755000
2341,217,1636427756000
2342,586,1636427757000
137,137,1636427758000
2205,166,1636427761000
137,137,1636427762000
2343,217,1636427763000
4213,131,1636427763000
736,131,1636427767000
2344,166,1636427768000
737,131,1636427769000
2345,166,1636427769000
2346,329,1636427770000
137,137,1636427771000
738,131,1636427773000
4214,131,1636427773000
2347,217,1636427774000
478,213,1636427774000
2133,217,1636427774000
739,131,1636427775000
2348,329,1636427775000
740,131,1636427776000
2349,182,1636427777000
2350,244,1636427778000
2351,166,1636427778000
2352,486,1636427779000
2353,166,1636427782000
741,131,1636427783000
742,131,1636427784000
753,166,1636427784000
2354,166,1636427785000
4215,131,1636427785000
743,131,1636427787000
4217,131,1636427788000
2355,166,1636427789000
4216,131,1636427789000
4218,132,1636427789000
4219,131,1636427793000
744,131,1636427795000
745,131,1636427796000
746,131,1636427797000
2324,131,1636427797000
2211,217,1636427798000
2339,244,1636427798000
4220,131,1636427801000
4148,134,1636427803000
747,131,1636427806000
2356,329,1636427806000
725,133,1636427807000
2357,329,1636427810000
2358,486,1636427810000
748,131,1636427812000
749,131,1636427812000
2259,166,1636427817000
750,131,1636427822000
4221,131,1636427827000
2324,217,1636427828000
2359,540,1636427830000
751,131,1636427832000
752,131,1636427833000
753,131,1636427833000
754,131,1636427834000
39,5126,1636427836000
39,131,1636427836000
39,131,1636427836000
4222,134,1636427838000
2309,329,1636427839000
2361,329,1636427839000
2360,329,1636427840000
2362,217,1636427841000
2363,329,1636427841000
4223,131,1636427841000
2287,329,1636427842000
755,131,1636427843000
307,307,1636427847000
2364,329,1636427850000
4224,131,1636427850000
4225,131,1636427851000
756,131,1636427853000
757,133,1636427854000
758,131,1636427857000
759,131,1636427859000
760,132,1636427859000
4226,131,1636427859000
4227,131,1636427860000
761,131,1636427865000
4220,131,1636427866000
762,131,1636427867000
762,131,1636427867000
2365,166,1636427870000
4228,131,1636427870000
2366,182,1636427871000
763,131,1636427872000
763,131,1636427872000
4229,137,1636427872000
764,131,1636427873000
2367,217,1636427873000
2343,217,1636427875000
765,131,1636427878000
766,131,1636427880000
2368,166,1636427880000
2369,540,1636427881000
2370,166,1636427886000
4230,131,1636427891000
2371,329,1636427893000
826,217,1636427900000
2372,182,1636427900000
2373,217,1636427903000
4231,131,1636427903000
2374,217,1636427904000
767,131,1636427909000
768,131,1636427912000
769,131,1636427915000
2375,217,1636427915000
166,166,1636427917000
770,131,1636427918000
2376,753,1636427919000
4232,131,1636427919000
771,137,1636427920000
772,131,1636427921000
2377,329,1636427921000
4233,131,1636427923000
773,131,1636427926000
774,131,1636427927000
4234,131,1636427928000
775,131,1636427929000
776,131,1636427934000
2378,285,1636427937000
4235,131,1636427939000
4236,131,1636427939000
4237,131,1636427940000
2379,329,1636427944000
4238,131,1636427945000
777,131,1636427946000
778,131,1636427946000
778,131,1636427946000
779,131,1636427947000
780,131,1636427948000
781,131,1636427951000
782,131,1636427952000
2380,329,1636427954000
4239,131,1636427955000
2381,285,1636427957000
2371,340,1636427957000
4240,131,1636427959000
4241,137,1636427961000
2343,217,1636427965000
4241,137,1636427965000
783,131,1636427967000
784,131,1636427967000
4241,137,1636427968000
4241,137,1636427970000
4241,137,1636427973000
2382,217,1636427975000
4242,131,1636427975000
4241,137,1636427976000
785,131,1636427977000
4243,131,1636427977000
4241,137,1636427979000
2383,217,1636427985000
2384,217,1636427986000
2385,244,1636427988000
4244,131,1636427988000
786,131,1636427994000
2386,329,1636427994000
2387,166,1636427995000
787,131,1636427998000
788,137,1636428001000
2388,260,1636428001000
2389,166,1636428001000
4245,131,1636428002000
2390,329,1636428004000
789,131,1636428007000
790,131,1636428008000
2391,166,1636428010000
2392,217,1636428010000
791,131,1636428012000
4246,131,1636428012000
792,131,1636428014000
4247,131,1636428014000
793,131,1636428015000
2393,329,1636428015000
4248,131,1636428017000
794,131,1636428018000
2394,329,1636428024000
795,131,1636428025000
795,131,1636428025000
4249,131,1636428031000
2371,329,1636428034000
796,131,1636428036000
2395,217,1636428036000
4250,131,1636428036000
2396,217,1636428039000
2397,166,1636428041000
2398,166,1636428045000
4251,131,1636428046000
797,131,1636428048000
797,131,1636428048000
2399,166,1636428050000
4252,131,1636428052000
798,131,1636428054000
